iter	RMSE
0	213480.5358
1	207836.4223
2	202457.0893
3	197662.6538
4	192969.3556
5	188667.5002
6	184606.5176
7	180898.3678
8	177401.7225
9	174113.5179
10	171005.2543
11	168064.1566
12	165287.0835
13	162867.2446
14	160482.2796
15	158220.3746
16	156080.8782
17	154151.3365
18	152240.398
19	150488.6193
20	148944.2796
21	147382.0582
22	145960.4321
23	144730.2846
24	143474.2536
25	142320.6434
26	141240.9965
27	140175.7765
28	139057.4201
29	138077.945
30	137176.8718
31	136309.1374
32	135488.4468
33	134734.3532
34	134013.8308
35	133352.9099
36	132704.7037
37	132105.2119
38	131506.477
39	130808.0098
40	130276.7905
41	129683.8288
42	129201.3868
43	128685.3403
44	128243.5039
45	127753.683
46	127274.412
47	126797.9351
48	126283.2861
49	125872.4557
50	125438.1808
51	125035.4246
52	124610.0683
53	124225.9412
54	123809.6437
55	123475.7505
56	123162.3546
57	122787.7675
58	122438.813
59	122130.4765
60	121822.3342
61	121502.5924
62	121235.2612
63	120918.1648
64	120653.0926
65	120400.351
66	120123.842
67	119853.1178
68	119541.9216
69	119264.8133
70	119042.2222
71	118821.3273
72	118545.6962
73	118372.3861
74	118127.8074
75	117893.2586
76	117692.2662
77	117438.2329
78	117217.1117
79	116967.3724
80	116705.2652
81	116469.6255
82	116311.6781
83	116135.4911
84	115953.4292
85	115775.1373
86	115502.0143
87	115282.7969
88	115040.2814
89	114824.0487
90	114570.66
91	114391.9553
92	114229.9136
93	114095.2842
94	113908.2582
95	113710.7694
96	113535.5879
97	113342.3286
98	113167.7324
99	113058.3408
100	112841.6465
101	112731.5454
102	112592.0457
103	112370.0244
104	112269.4808
105	112093.2175
106	111987.5652
107	111856.0577
108	111699.5634
109	111538.5917
110	111342.8323
111	111183.3587
112	111062.8275
113	110912.3796
114	110744.4943
115	110635.2443
116	110493.1062
117	110394.9499
118	110242.9639
119	110146.4033
120	109989.7654
121	109826.7781
122	109680.2487
123	109565.7623
124	109432.9869
