iter	Passed	Remaining
0	52	26286
1	59	14702
2	65	10846
3	71	8810
4	76	7609
5	83	6840
6	89	6271
7	95	5857
8	101	5513
9	106	5224
10	112	4988
11	117	4792
12	124	4653
13	130	4513
14	135	4376
15	140	4259
16	146	4154
17	151	4053
18	156	3968
19	161	3887
20	167	3812
21	172	3746
22	177	3688
23	183	3634
24	189	3591
25	195	3567
26	202	3546
27	209	3528
28	215	3503
29	221	3477
30	229	3470
31	235	3451
32	242	3432
33	249	3421
34	255	3399
35	262	3383
36	269	3372
37	277	3374
38	284	3361
39	291	3347
40	297	3334
41	304	3320
42	310	3301
43	317	3285
44	324	3284
45	331	3271
46	338	3259
47	345	3254
48	353	3255
49	360	3242
50	367	3236
51	374	3225
52	380	3211
53	387	3203
54	394	3190
55	404	3204
56	410	3192
57	417	3181
58	423	3168
59	431	3162
60	438	3157
61	445	3148
62	452	3137
63	458	3124
64	465	3112
65	471	3103
66	478	3094
67	487	3094
68	493	3085
69	501	3081
70	508	3071
71	515	3064
72	522	3055
73	528	3043
74	536	3038
75	543	3031
76	550	3022
77	560	3033
78	569	3036
79	576	3028
80	583	3019
81	590	3009
82	597	3003
83	604	2995
84	612	2988
85	619	2981
86	626	2972
87	632	2962
88	639	2954
89	646	2946
90	653	2938
91	660	2930
92	668	2924
93	674	2914
94	681	2906
95	688	2896
96	695	2891
97	702	2883
98	708	2869
99	714	2859
100	724	2861
101	731	2853
102	737	2842
103	744	2835
104	751	2826
105	758	2818
106	766	2814
107	776	2816
108	782	2808
109	789	2798
110	795	2789
111	803	2783
112	810	2775
113	817	2767
114	824	2759
115	830	2750
116	838	2744
117	845	2735
118	851	2725
119	858	2717
120	864	2708
121	871	2700
122	878	2692
123	885	2683
124	891	2674
125	897	2665
126	904	2655
127	910	2646
128	917	2638
129	923	2628
130	930	2620
131	936	2611
132	943	2602
133	949	2593
134	957	2587
135	964	2580
136	972	2575
137	978	2565
138	984	2556
139	989	2544
140	995	2534
141	1000	2522
142	1006	2512
143	1011	2501
144	1017	2491
145	1023	2480
146	1028	2469
147	1033	2459
148	1039	2448
149	1045	2438
150	1051	2430
151	1057	2420
152	1062	2410
153	1068	2400
154	1073	2390
155	1079	2381
156	1085	2371
157	1090	2360
158	1097	2352
159	1102	2342
160	1108	2333
161	1113	2323
162	1119	2314
163	1125	2305
164	1131	2296
165	1137	2288
166	1142	2278
167	1148	2270
168	1154	2262
169	1160	2253
170	1166	2244
171	1172	2236
172	1178	2227
173	1184	2219
174	1190	2211
175	1196	2203
176	1203	2195
177	1209	2187
178	1215	2179
179	1220	2170
180	1226	2161
181	1232	2153
182	1238	2145
183	1244	2136
184	1250	2128
185	1255	2120
186	1261	2111
187	1267	2103
188	1273	2094
189	1278	2086
190	1284	2078
191	1290	2070
192	1296	2061
193	1302	2054
194	1308	2046
195	1314	2038
196	1320	2030
197	1326	2023
198	1332	2014
199	1338	2007
200	1343	1998
201	1349	1990
202	1355	1982
203	1361	1974
204	1366	1966
205	1372	1958
206	1378	1951
207	1384	1943
208	1390	1935
209	1395	1927
210	1401	1919
211	1407	1912
212	1413	1904
213	1419	1896
214	1424	1888
215	1430	1880
216	1436	1872
217	1441	1864
218	1446	1856
219	1452	1848
220	1458	1840
221	1464	1833
222	1470	1826
223	1476	1818
224	1481	1811
225	1487	1803
226	1493	1795
227	1498	1788
228	1504	1781
229	1510	1773
230	1516	1766
231	1522	1758
232	1527	1750
233	1534	1744
234	1540	1736
235	1545	1729
236	1551	1721
237	1557	1714
238	1563	1707
239	1568	1699
240	1574	1692
241	1580	1685
242	1586	1677
243	1591	1670
244	1598	1663
245	1604	1656
246	1610	1649
247	1616	1642
248	1621	1634
249	1627	1627
250	1632	1619
251	1638	1612
252	1643	1604
253	1649	1597
254	1654	1590
255	1660	1582
256	1666	1575
257	1671	1567
258	1677	1560
259	1682	1553
260	1688	1545
261	1693	1538
262	1699	1531
263	1704	1524
264	1710	1516
265	1715	1509
266	1721	1502
267	1726	1494
268	1732	1487
269	1738	1480
270	1743	1473
271	1748	1466
272	1754	1458
273	1759	1451
274	1765	1444
275	1770	1436
276	1776	1430
277	1782	1423
278	1788	1416
279	1794	1409
280	1799	1402
281	1804	1395
282	1810	1388
283	1815	1381
284	1821	1374
285	1826	1367
286	1832	1359
287	1837	1352
288	1843	1345
289	1848	1338
290	1853	1331
291	1859	1324
292	1865	1317
293	1870	1310
294	1876	1304
295	1882	1297
296	1888	1290
297	1894	1283
298	1899	1277
299	1905	1270
300	1911	1263
301	1917	1257
302	1923	1250
303	1929	1243
304	1935	1237
305	1942	1231
306	1948	1225
307	1954	1218
